ID,Name,Type,ATK,DEF,Description,Suggested_Pool,Final_Pool
1045,Labyrinth Wall,Monster (Normal),0,3000,These walls form a labyrinth with no exit for enemies.,1.1,
1046,Labyrinth of Nightmare,Trap,,,"Once per turn, during each player's End Phase: Change the battle positions of all face-up monsters t",4.5,
1047,Lady Assailant of Flames,Monster (Effect),1500,1000,FLIP: Banish the top 3 cards of your Deck; inflict 800 damage to your opponent.,2.4,
1048,Lady Ninja Yae,Monster (Effect),1100,200,"By discarding 1 WIND monster from your hand to the Graveyard, return all Spell and Trap Cards on you",2.1,
1049,Lady Panther,Monster (Effect),1400,1300,Tribute this face-up card to return 1 of your monsters destroyed as a result of battle during this t,2.4,
1050,Lady of Faith,Monster (Normal),1100,800,Soothes the souls of others by chanting a mysterious spell.,1.5,
1051,Larvae Moth,Monster (Effect),500,400,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing """,1.4,
1052,Larvas,Monster (Normal),800,1000,"A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms.",1.5,
1053,Laser Cannon Armor,Spell,,,Equip only to an Insect monster. It gains 300 ATK/DEF.,1.4,
1054,Last Day of Witch,Spell,,,Destroy all face-up Spellcaster-Type monsters on the field.,4.5,
1055,Last Turn,Trap,,,This card can only be activated during your opponent's turn when your Life Points are 1000 or less. ,2.3,
1056,Last Will,Spell,,,"If a monster on your side of the field was sent to your Graveyard this turn, you can Special Summon ",1.4,
1057,Laughing Flower,Monster (Normal),900,500,''A flower whose laugh can confuse the minds of enemies.'',1.5,
1058,Launcher Spider,Monster (Normal),2200,2500,A mechanical spider with rocket launchers capable of random fire.,3.5,
1059,Lava Battleguard,Monster (Effect),1550,1800,"This card gains 500 ATK for each ""Swamp Battleguard"" you control.",1.4,
1060,Lava Golem,Monster (Effect),3000,2500,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's fi,5.2,
1061,Left Arm of the Forbidden One,Monster (Normal),200,300,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,1.1,
1062,Left Leg of the Forbidden One,Monster (Normal),200,300,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,1.1,
1063,Legacy Hunter,Monster (Effect),1000,1500,When this card attacks a face-down Defense Position monster and destroys it and sends it to the Grav,2.1,
1064,Legacy of Yata-Garasu,Trap,,,Activate 1 of these effects: ● Draw 1 card. ● Activate only if your opponent controls a face-up Spir,4.5,
1065,Legendary Black Belt,Spell,,,"Equip only to ""Chu-Ske the Mouse Fighter"", ""Monk Fighter"", or ""Master Monk"". When the equipped monst",1.4,
1066,Legendary Fiend,Monster (Effect),1500,1800,"Once per turn, during your Standby Phase: This card gains 700 ATK.",1.4,
1067,Legendary Flame Lord,Monster (Ritual),2400,2000,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Incandescent Ordeal"". You must al",4.1,
1068,Legendary Jujitsu Master,Monster (Effect),1300,1800,"If this Defense Position card battled a monster, at the end of the Damage Step: Place that monster o",2.2,
1069,Legendary Sword,Spell,,,Equip only to a Warrior monster. It gains 300 ATK/DEF.,1.4,
1070,Leghul,Monster (Effect),300,350,This monster may attack your opponent's Life Points directly.,1.2,
1071,Lekunga,Monster (Effect),1700,500,"You can banish 2 WATER monsters from your Graveyard; Special Summon 1 ""Lekunga Token"" (Plant-Type/WA",3.1,
1072,Leo Wizard,Monster (Normal),1350,1200,''A wizard with a black mantle who is actually a talking lion in disguise.'',1.1,
1073,Leogun,Monster (Normal),1750,1550,Huge monster with a lion's mane similar to the King of Beasts.,1.5,
1074,Lesser Dragon,Monster (Normal),1200,1000,A minor dragon incapable of breathing fire.,2.1,
1075,Lesser Fiend,Monster (Effect),2100,1000,"(This card is always treated as an ""Archfiend"" card.) Banish any monster destroyed by battle with th",4.1,
1076,Level Conversion Lab,Trap,,,"Select 1 monster in your hand and show it to your opponent, then roll a six-sided die. If the result",2.3,
1077,Level Limit - Area B,Spell,,,Change all face-up Level 4 or higher monsters to Defense Position.,1.4,
1078,Level Up!,Spell,,,"Send 1 face-up ""LV"" monster you control to the GY; Special Summon 1 monster from your hand or Deck t",4.5,
1079,Levia-Dragon - Daedalus,Monster (Effect),2600,1500,"You can send 1 face-up ""Umi"" you control to the GY; destroy all other cards on the field.",4.4,
1080,Life Absorbing Machine,Trap,,,"During your Standby Phase, gain Life Points equal to half of the total Life Points you paid during y",2.3,
1081,Light of Intervention,Trap,,,"While this card is on the field, Monster Cards cannot be Set or flipped face-down. If a Monster Card",1.4,
1082,Light of Judgment,Trap,,,"If ""The Sanctuary in the Sky"" is on the field: Discard 1 LIGHT monster to the GY; apply 1 of the fol",4.5,
1083,Lighten the Load,Spell,,,"Once per turn, you can add 1 Level 7 or higher monster from your hand to your Deck and shuffle it, t",2.3,
1084,Lightforce Sword,Trap,,,"Banish 1 random card from your opponent's hand, face-down. During your opponent's 4th Standby Phase ",2.3,
1085,Lightning Blade,Spell,,,Equip only to a Warrior-Type monster. It gains 800 ATK. All WATER monsters lose 500 ATK.,2.3,
1086,Lightning Conger,Monster (Normal),350,750,This massive eel generates huge charges of electricity and unleashes them as thunderbolts.,1.1,
1087,Lightning Vortex,Spell,,,Discard 1 card; destroy all face-up monsters your opponent controls.,4.5,
1088,Limiter Removal,Spell,,,"Double the ATK of all Machine monsters you currently control, until the end of this turn. During the",4.5,
1089,Liquid Beast,Monster (Normal),950,800,A liquid life form that thrives on water.,1.5,
1090,Lisark,Monster (Normal),1300,1300,''A creature with sapphire eyes that mesmerizes and confuses enemies.'',2.1,
1091,Little Chimera,Monster (Effect),600,550,All FIRE monsters on the field gain 500 ATK. All WATER monsters on the field lose 400 ATK.,1.4,
1092,Little D,Monster (Normal),1100,700,"Yo, this tyrannosaurus tot's got a terrible temper.",1.5,
1093,Little-Winguard,Monster (Effect),1400,1800,"Once per turn, during your End Phase: You can change the battle position of this card.",2.4,
1094,Living Vase,Monster (Normal),900,1100,''A living vase that bites enemies and blinds them with a blast of pollen from its flower.'',1.5,
1095,Lizard Soldier,Monster (Normal),1100,800,"A beast soldier derived from dragons, it is small for a Dragon-Type. Moving very quickly, this monst",1.5,
1096,Lone Wolf,Trap,,,"Activate only if the 1 and only monster on your side of the field is ""Chu-Ske the Mouse Fighter"", ""M",2.3,
1097,Lord Poison,Monster (Effect),1500,1000,If this card is destroyed by battle and sent to the Graveyard: Target 1 Plant-Type monster in your G,2.4,
1098,Lord of D.,Monster (Effect),1200,1100,Neither player can target Dragon monsters on the field with card effects.,2.2,
1099,Lord of Zemia,Monster (Normal),1300,1000,''A wicked entity that manipulates enemies towards a path of destruction.'',2.1,
1100,Lord of the Lamp,Monster (Normal),1400,1200,This spirit emerges from the mystic lamp and obeys the wishes of its summoner.,2.3,
1101,Lost Guardian,Monster (Effect),100,0,The original DEF of this card equals the number of your banished Rock-Type monsters × 700.,1.2,
1102,Lucky Trinket,Monster (Normal),600,800,"This creature may look slim and weak, but it's protected by a mystical force.",1.3,
1103,Luminous Soldier,Monster (Effect),2100,1400,"If this card battles a DARK monster, increase the ATK of this card by 500 points during the Damage S",4.1,
1104,Luminous Spark,Spell,,,All LIGHT monsters gain 500 ATK and lose 400 DEF.,1.4,
1105,Lunar Queen Elzaim,Monster (Normal),750,1100,''A lovely creature guarded by the moon. Her lunar curtain can block just about any attack.'',1.3,
1106,Luster Dragon,Monster (Normal),1900,1600,"A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high atta",3.3,
1107,Luster Dragon #2,Monster (Normal),2400,1400,"This dragon feeds on emerald. Enchanted by this monster even when attacked, few people live to tell ",4.1,
1108,M-Warrior #1,Monster (Normal),1000,500,"Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape.",1.5,
1109,M-Warrior #2,Monster (Normal),500,1000,"Specializing in combination attacks, this warrior is equipped with a tough, magnetically coated armo",1.3,
1110,Mabarrel,Monster (Normal),1700,1400,''This cannon-like creature fires eyeballs so fast they can't be seen.'',1.5,
1111,Machine Attacker,Monster (Normal),1600,1300,"''This machine, created to lead charges into enemy territory, mows down enemies by rushing.''",1.5,
1112,Machine Conversion Factory,Spell,,,Equip only to a Machine monster. It gains 300 ATK/DEF.,1.4,
1113,Machine Duplication,Spell,,,Target 1 Machine monster you control with 500 or less ATK; Special Summon up to 2 monsters from your,4.5,
1114,Machine King,Monster (Effect),2200,2000,This card gains 100 ATK for each Machine-Type monster on the field.,4.1,
1115,Mad Dog of Darkness,Monster (Normal),1900,1400,"He used to be a normal dog who played around in a park, but was corrupted by the powers of darkness.",3.3,
1116,Mad Lobster,Monster (Normal),1700,1000,A gourmet food renowned by the Dark World upper crust. It has sensational flavor.,2.5,
1117,Mad Sword Beast,Monster (Effect),1400,1200,"If this card attacks a Defense Position monster, inflict piercing battle damage.",2.4,
1118,Madjinn Gunn,Monster (Normal),600,800,''A living weapon that spits projectiles.'',1.3,
1119,Mage Power,Spell,,,The equipped monster gains 500 ATK and DEF for each Spell/Trap Card you control.,4.5,
1120,Magic Cylinder,Trap,,,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and ",4.5,
1121,Magic Drain,Trap,,,When your opponent activates a Spell Card: They can discard 1 Spell Card to negate this card's effec,4.5,
1122,Magic Formula,Spell,,,"Equip only to ""Dark Magician"" or ""Dark Magician Girl"". It gains 700 ATK. If this card is sent from t",2.3,
1123,Magic Jammer,Trap,,,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",4.5,
1124,Magic Reflector,Spell,,,"Target 1 face-up Spell Card you control; place 1 counter on it. If it would ever be destroyed, remov",4.5,
1125,Magical Arm Shield,Trap,,,When your opponent declares an attack while you control a monster: Target 1 face-up monster your opp,4.5,
1126,Magical Dimension,Spell,,,"If you control a Spellcaster monster: Target 1 monster you control; Tribute that target, then Specia",4.5,
1127,Magical Explosion,Trap,,,Activate only while you have no cards in your hand. Inflict 200 damage to your opponent for each Spe,2.3,
1128,Magical Ghost,Monster (Normal),1300,1400,This creature casts a spell of terror and confusion just before attacking its enemies.,2.1,
1129,Magical Hats,Trap,,,During your opponent's Battle Phase: Choose 2 Spell/Trap Cards from your Deck and 1 monster in your ,1.4,
1130,Magical Labyrinth,Spell,,,"Equip only to ""Labyrinth Wall"". You can Tribute the equipped monster; Special Summon ""Wall Shadow"" f",2.3,
1131,Magical Marionette,Monster (Effect),2000,1000,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolve",3.4,
1132,Magical Merchant,Monster (Effect),200,700,"FLIP: Excavate cards from the top of your Deck until you excavate a Spell/Trap, then add that card t",1.2,
1133,Magical Plant Mandragola,Monster (Effect),500,200,FLIP: Place 1 Spell Counter on each face-up card on the field that you can place a Spell Counter on.,1.4,
1134,Magical Scientist,Monster (Effect),300,300,Pay 1000 Life Points to Special Summon 1 level 6 or lower Fusion Monster from your Extra Deck in fac,1.2,
1135,Magical Stone Excavation,Spell,,,"Discard 2 cards, then target 1 Spell in your GY; add it to your hand.",2.3,
1136,Magical Thorn,Trap,,,"When your opponent's card(s) in their hand are discarded to the Graveyard, inflict 500 points of dam",1.4,
1137,Magician of Black Chaos,Monster (Ritual),2800,2600,"You can Ritual Summon this card with ""Black Magic Ritual"".",4.3,
1138,Magician of Faith,Monster (Effect),300,400,FLIP: Target 1 Spell in your GY; add that target to your hand.,1.2,
1139,Magician's Valkyria,Monster (Effect),1600,1800,"Monsters your opponent controls cannot target face-up Spellcaster-Type monsters for attacks, except ",3.1,
1140,Maha Vailo,Monster (Effect),1550,1400,This card gains 500 ATK for each Equip Card equipped to this card.,2.4,
1141,Maharaghi,Monster (Effect),1200,1700,This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of ,2.2,
1142,Maiden of the Aqua,Monster (Effect),700,2000,"As long as this card remains face-up on the field, the field is treated as ""Umi"" (however there is n",1.4,
1143,Maiden of the Moonlight,Monster (Normal),1500,1300,A sorcerer blessed by lunar light with powers far beyond mortal comprehension.,2.3,
1144,Maji-Gire Panda,Monster (Effect),1000,800,"Each time a Beast-Type monster(s) on the field is destroyed, this card gains 500 ATK.",2.1,
1145,Major Riot,Trap,,,You can activate this card when 1 or more of your monsters are returned from the field to your hand ,1.4,
1146,Maju Garzett,Monster (Effect),0,0,The ATK of this card becomes equal to the combined original ATK of the 2 monsters you Tributed for t,1.2,
1147,"Makiu, the Magical Mist",Spell,,,"Target 1 ""Summoned Skull"", or 1 Thunder monster, in your Monster Zone; destroy all monsters your opp",4.5,
1148,Makyura the Destructor,Monster (Effect),1600,1200,If this card is sent from the Monster Zone to the GY: You can activate 1 Trap Card from your hand th,3.1,
1149,Malevolent Catastrophe,Trap,,,When an opponent's monster declares an attack: Destroy all Spell and Trap Cards on the field.,4.5,
1150,Malevolent Nuzzler,Spell,,,The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can ,2.3,
1151,Malice Dispersion,Spell,,,Discard 1 card from your hand. Destroy all face-up Continuous Trap Cards.,4.5,
1152,Malice Doll of Demise,Monster (Effect),1600,1700,During your next Standby Phase after this card was sent from the field to the Graveyard by the effec,3.1,
1153,Mammoth Graveyard,Monster (Normal),1200,800,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers,2.1,
1154,Man Eater,Monster (Normal),800,600,Man-eating plant with poison feelers for attacking enemies.,1.5,
1155,Man-Eater Bug,Monster (Effect),450,600,FLIP: Target 1 monster on the field; destroy it.,1.2,
1156,Man-Eating Black Shark,Monster (Fusion),2100,1300,"""Sea Kamen"" + ""Gruesome Goo"" + ""Amazon of the Seas""",3.5,
1157,Man-Eating Plant,Monster (Normal),800,600,''A meat-eating plant that is attractive to the eye but dangerous when approached.'',1.5,
1158,Man-Eating Treasure Chest,Monster (Normal),1600,1000,A monster disguised as a treasure chest that is known to attack the unwary adventurer.,2.5,
1159,Man-Thro' Tro',Monster (Effect),1000,1000,"By Tributing 1 Normal Monster (except a Token) on your side of the field, inflict 800 points of dama",2.1,
1160,Manga Ryu-Ran,Monster (Effect),2200,2600,"(This card is always treated as a ""Toon"" card.) Cannot be Normal Summoned/Set. Must first be Special",4.1,
1161,Manju of the Ten Thousand Hands,Monster (Effect),1400,1000,When this card is Normal or Flip Summoned: You can add 1 Ritual Monster or 1 Ritual Spell from your ,2.4,
1162,Manticore of Darkness,Monster (Effect),2300,1000,During the End Phase of the turn this card was sent to the Graveyard: You can send to the Graveyard ,4.1,
1163,Marauding Captain,Monster (Effect),1200,400,"Your opponent cannot target Warrior monsters for attacks, except this one. When this card is Normal ",2.2,
1164,Marine Beast,Monster (Fusion),1700,1600,"""Water Magician"" + ""Behegon""",3.5,
1165,Marshmallon,Monster (Effect),300,500,"Cannot be destroyed by battle. After damage calculation, if this card was attacked, and was face-dow",1.2,
1166,Marshmallon Glasses,Spell,,,"While ""Marshmallon"" is in your Monster Zone, your opponent cannot target monsters other than ""Marshm",2.3,
1167,Maryokutai,Monster (Effect),900,900,"During your opponent's turn, when your opponent activates a Spell Card (Quick Effect): You can Tribu",2.1,
1168,Masaki the Legendary Swordsman,Monster (Normal),1100,1100,Legendary swordmaster Masaki is a veteran of over 100 battles.,1.5,
1169,Mask of Brutality,Spell,,,"The equipped monster gains 1000 ATK and loses 1000 DEF. During each of your Standby Phases, pay 1000",1.4,
1170,Mask of Darkness,Monster (Effect),900,400,FLIP: Target 1 Trap in your GY; add that target to your hand.,2.1,
1171,Mask of Dispel,Spell,,,Select 1 face-up Spell Card on the field. The controller of the Spell Card takes 500 points of damag,4.5,
1172,Mask of Restrict,Trap,,,Neither player can Tribute cards.,2.3,
1173,Mask of Weakness,Trap,,,Target 1 attacking monster; that target loses 700 ATK until the end of this turn.,2.3,
1174,Mask of the Accursed,Spell,,,"The equipped monster cannot attack. Once per turn, during your Standby Phase: Inflict 500 damage to ",4.5,
1175,Masked Beast Des Gardius,Monster (Effect),3300,2500,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing,5.2,
1176,Masked Clown,Monster (Normal),500,700,''This warrior's fatal dance is performed with a lethal sickle.'',1.3,
1177,Masked Dragon,Monster (Effect),1400,1100,When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Dragon-Typ,2.4,
1178,Masked Sorcerer,Monster (Effect),900,1400,"When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.",2.1,
1179,Mass Driver,Spell,,,Tribute 1 monster on your side of the field to inflict 400 points of damage to your opponent's Life ,2.3,
1180,Master & Expert,Monster (Normal),1200,1000,A deadly duo consisting of a beast master and its loyal servant.,2.1,
1181,Master Kyonshee,Monster (Normal),1750,1000,A wandering Kyonshee searching for a strong rival to defeat. They say he was known as the master of ,2.5,
1182,Master Monk,Monster (Effect),1900,1000,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing,3.4,
1183,Master of Oz,Monster (Fusion),4200,3700,"""Big Koala"" + ""Des Kangaroo""",5.1,
1184,Mataza the Zapper,Monster (Effect),1300,800,This card can make a second attack during each Battle Phase. Control of this face-up card on the fie,2.2,
1185,Mavelus,Monster (Fusion),1300,900,"""Tyhone"" + ""Wings of Wicked Flame""",3.1,
1186,Maximum Six,Monster (Effect),1900,1600,"When this card is Tribute Summoned: Roll a six-sided die, and this card gains ATK equal to the resul",3.4,
1187,Mazera DeVille,Monster (Effect),2800,2300,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing,4.4,
1188,Mech Bass,Monster (Normal),1800,1500,''This monster carries a devastating plasma cannon on its powerful back.'',3.1,
1189,Mech Mole Zombie,Monster (Normal),500,400,''This creature attacks by launching missile-like arms.'',1.3,
1190,Mecha-Dog Marron,Monster (Effect),1000,1000,"When this card is destroyed by battle and sent to the Graveyard, inflict 1000 damage to both players",2.1,
1191,Mechaleon,Monster (Normal),800,600,''This monster can hide just about anywhere by adopting the colors of its surroundings.'',1.5,
1192,Mechanical Hound,Monster (Effect),2800,1500,"While you have no cards in your hand, your opponent cannot activate Spell Cards.",4.4,
1193,Mechanical Snail,Monster (Normal),800,1000,A cyborg snail that still travels at a slow pace.,1.5,
1194,Mechanicalchaser,Monster (Normal),1850,800,A hunter that relentlessly pursues its target by order of the Machine King.,3.1,
1195,Meda Bat,Monster (Normal),800,400,"An eyeball fiend created by a servant of the wicked, it uses ""Dark Blasts"" to blow away its enemies.",1.5,
1196,Medusa Worm,Monster (Effect),500,600,"Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summon",1.4,
1197,Mefist the Infernal General,Monster (Effect),1800,1700,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflic",3.2,
1198,Mega Thunderball,Monster (Normal),750,600,Rolls along the ground releasing bolts of electricity to attack its enemies.,1.3,
1199,Mega Ton Magical Cannon,Spell,,,Remove 10 Spell Counters on your side of the field. Destroy all cards on your opponent's side of the,4.5,
1200,Megamorph,Spell,,,"While your LP is lower than your opponent's, the equipped monster's ATK becomes double its original ",2.3,
1201,Megarock Dragon,Monster (Effect),0,0,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing ,1.2,
1202,Megasonic Eye,Monster (Normal),1500,1800,"Made of mysterious metal, this monster is a doomsday machine from the edge of the universe.",1.3,
1203,Megazowler,Monster (Normal),1800,2000,Nothing stands in the way of this spike-covered dinosaur!,3.1,
1204,Megirus Light,Monster (Normal),900,600,''The fatal beams from the eyes of this monster result in grim destruction.'',1.5,
1205,Melchid the Four-Face Beast,Monster (Normal),1500,1200,This monster has four different masks for four different attacks.,2.3,
1206,Meotoko,Monster (Normal),700,600,Dis big ol' guy wit' a big ol' eye shoots a nasty ray beam right atcha!,1.3,
1207,Mermaid Knight,Monster (Effect),1500,700,"While ""Umi"" is face-up on the field, this card can attack twice during the same Battle Phase.",2.4,
1208,Mesmeric Control,Spell,,,"During your opponent's next turn after you activate this card, your opponent cannot change the battl",4.5,
1209,Messenger of Peace,Spell,,,"Monsters with 1500 or more ATK cannot declare an attack. Once per turn, during your Standby Phase, p",2.3,
1210,Metal Armored Bug,Monster (Normal),2800,1500,A gigantic insect-like creature covered by thick armor. Everything in his path is destroyed.,4.3,
1211,Metal Detector,Trap,,,You can only activate this card when a Continuous Trap Card is activated. Negate all Continuous Trap,4.5,
1212,Metal Dragon,Monster (Fusion),1850,1700,"""Steel Ogre Grotto #1"" + ""Lesser Dragon""",3.1,
1213,Metal Fish,Monster (Normal),1600,1900,A metal fish with a razor-sharp caudal fin.,1.5,
1214,Metal Guardian,Monster (Normal),1150,2150,"A fiend guarding the treasures of the netherworld, it's most at home in the dark.",1.5,
1215,Metal Reflect Slime,Trap,,,Special Summon this card in Defense Position as an Effect Monster (Aqua/WATER/Level 10/ATK 0/DEF 300,1.4,
1216,Metallizing Parasite - Lunatite,Monster (Effect),1000,500,"Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to",2.1,
1217,Metalmorph,Trap,,,Target 1 face-up monster on the field; equip this card to that target. It gains 300 ATK/DEF. If it a,1.4,
1218,Metalsilver Armor,Spell,,,"As long as you control the monster equipped with this card, your opponent cannot use the effect of a",4.5,
1219,Metalzoa,Monster (Effect),3000,2300,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your Deck) by Tributing ""Zoa"" eq",5.2,
1220,Metamorphosis,Spell,,,Tribute 1 monster. Special Summon 1 Fusion Monster from your Extra Deck with the same Level as the T,2.3,
1221,Meteor Black Dragon,Monster (Fusion),3500,2000,"""Red-Eyes Black Dragon"" + ""Meteor Dragon""",5.1,
1222,Meteor Dragon,Monster (Normal),1800,2000,This dragon appeared from the sky and crashed to the earth.,3.1,
1223,Meteor of Destruction,Spell,,,If your opponent's Life Points are higher than 3000: Inflict 1000 damage to your opponent.,2.3,
1224,Meteorain,Trap,,,"During this turn, when your monsters attack with an ATK that is higher than the DEF of your opponent",1.4,
1225,Michizure,Trap,,,"When a monster is sent from the field to your GY, even during the Damage Step: Target 1 monster on t",2.3,
1226,Micro Ray,Trap,,,Target 1 face-up monster on the field; that target's DEF becomes 0 until the end of this turn.,1.4,
1227,Mid Shield Gardna,Monster (Effect),100,1800,"Once per turn, you can flip this card into face-down Defense Position. Negate the activation of any ",1.2,
1228,Midnight Fiend,Monster (Normal),800,600,''This monster only appears when a midnight tribute is made.'',1.5,
1229,Mighty Guard,Monster (Normal),500,1200,A machine soldier that was developed as a guard. It is made of rust-proof metal.,1.3,
1230,Mikazukinoyaiba,Monster (Normal),2200,2350,A dragon warrior of the moon armed with a crescent sword.,3.5,
1231,Millennium Golem,Monster (Normal),2000,2200,"For nearly a millennium, this golem has served as guardian of an ancient treasure trove.",3.3,
1232,Millennium Scorpion,Monster (Effect),2000,1800,Each time this card destroys 1 monster on your opponent's side of the field by battle and sends it t,3.4,
1233,Millennium Shield,Monster (Normal),0,3000,A famous shield said to belong to an ancient Egyptian Pharaoh. Legends tell of its power to block an,1.1,
1234,Milus Radiant,Monster (Effect),300,250,"As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 poi",1.2,
1235,Minar,Monster (Effect),850,750,When this card is discarded directly from your hand to the Graveyard by an effect of a card controll,2.1,
1236,Mind Control,Spell,,,"Target 1 monster your opponent controls; until the End Phase, take control of that target, but it ca",4.5,
1237,Mind Crush,Trap,,,"Declare 1 card name; if that card is in your opponent's hand, they must discard all copies of it, ot",2.3,
1238,Mind Haxorz,Trap,,,Pay 500 Life Points. Look at your opponent's hand and all Set cards on their side of the field.,2.3,
1239,Mind Wipe,Spell,,,Activate only if your opponent has 3 or less cards in their hand. Your opponent adds their hand to t,2.3,
1240,Mind on Air,Monster (Effect),1000,1600,Your opponent must play with their hand revealed.,2.1,
1241,Mine Golem,Monster (Effect),1000,1900,"When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent",2.1,
1242,Minefield Eruption,Trap,,,"Inflict 1000 damage to your opponent for each face-up ""Mine Golem"" on your side of the field. After ",4.5,
1243,Minomushi Warrior,Monster (Normal),1300,1200,''A rock warrior that wields a heavy blade carved from stone.'',2.1,
1244,Minor Goblin Official,Trap,,,You can only activate this card when your opponent's Life Points are 3000 or less. Inflict 500 point,1.4,
1245,Miracle Dig,Spell,,,"If 5 or more of your monsters are currently removed from play, return 3 of them to the Graveyard.",2.3,
1246,Miracle Fusion,Spell,,,"Fusion Summon 1 ""Elemental HERO"" Fusion Monster from your Extra Deck, by banishing Fusion Materials ",2.3,
1247,Miracle Restoring,Trap,,,"Remove 2 Spell Counters from your side of the field, then target 1 ""Dark Magician"" or ""Buster Blader",2.3,
1248,Mirage Dragon,Monster (Effect),1600,600,Your opponent cannot activate Trap Cards during the Battle Phase.,3.1,
1249,Mirage Knight,Monster (Effect),2800,2000,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Dark Flare Knight"" and cannot be Special",4.4,
1250,Mirage of Nightmare,Spell,,,"Once per turn, during your opponent's Standby Phase: Draw cards until you have 4 cards in your hand.",2.3,
1251,Mirror Force,Trap,,,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,4.5,
1252,Mirror Wall,Trap,,,Each of your opponent's monsters that conducted an attack while this card was face-up on the field h,2.3,
1253,Misairuzame,Monster (Normal),1400,1600,A missile-launching fish protected by deadly spikes.,1.3,
1254,Mispolymerization,Trap,,,Activate only when a Fusion Monster is Special Summoned. Return all face-up Fusion Monsters to their,2.3,
1255,Moai Interceptor Cannons,Monster (Effect),1100,2000,"Once per turn, you can flip this card into face-down Defense Position.",2.1,
1256,Mobius the Frost Monarch,Monster (Effect),2400,1000,When this card is Tribute Summoned: You can target up to 2 Spell/Trap Cards on the field; destroy th,4.2,
1257,Moisture Creature,Monster (Effect),2800,2900,"If you Tribute Summon this monster by Tributing 3 monsters on the field, destroy all Spell and Trap ",4.4,
1258,Mokey Mokey,Monster (Normal),300,100,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadfu,1.1,
1259,Mokey Mokey Smackdown,Spell,,,"While a face-up ""Mokey Mokey"" is on your side of the field, if a Fairy-Type monster on your side of ",2.3,
1260,Molten Behemoth,Monster (Normal),1000,2200,"A giant born from magma, it attacks with a magma punch.",1.5,
1261,Molten Destruction,Spell,,,All FIRE monsters gain 500 ATK and lose 400 DEF.,1.4,
1262,Molten Zombie,Monster (Effect),1600,400,When this card is Special Summoned from the Graveyard: Draw 1 card.,3.1,
1263,Mon Larvas,Monster (Normal),1300,1400,"''A further step in the evolutionary chain, it is much more powerful than ""Larvas"".''",2.1,
1264,Monk Fighter,Monster (Effect),1300,1000,Battle Damage to this card's controller from a battle involving this card becomes 0.,2.2,
1265,Monster Egg,Monster (Normal),600,900,A warrior hidden within an egg that attacks enemies by flinging eggshells.,1.3,
1266,Monster Eye,Monster (Effect),250,350,"You can pay 1000 Life Points; add 1 ""Polymerization"" from your Graveyard to your hand.",1.2,
1267,Monster Gate,Spell,,,Tribute 1 monster; excavate cards from the top of your Deck until you excavate a monster that can be,2.3,
1268,Monster Reborn,Spell,,,Target 1 monster in either GY; Special Summon it.,5.5,
1269,Monster Recovery,Spell,,,"Target 1 monster you control that is owned by you; if that monster is still on the field, shuffle it",4.5,
1270,Monster Tamer,Monster (Normal),1800,1600,A master of monsters that exercises control over several creatures.,3.1,
1271,Monstrous Bird,Monster (Normal),2000,1900,''Few have set eyes on this dive-bombing bird and lived to tell the tale.'',3.3,
1272,Monsturtle,Monster (Normal),800,1000,"''Protected by a spiked shell, this turtle has a very nasty disposition.''",1.5,
1273,Moon Envoy,Monster (Normal),1100,1000,Many have fallen victim to this lunar warrior's crescent pike.,1.5,
1274,Mooyan Curry,Spell,,,Choose 1 player; that player gains 200 Life Points.,2.3,
1275,Morale Boost,Spell,,,"Each time a player equips an Equip Spell Card, increase the Life Points of the controller of that Eq",4.5,
